name	mbid	artist_ref
Spirit in the Sky	656700dc-c886-4440-8771-1ad945ce0c05	1940
Split the Atom	38017f4f-f6c0-4b49-91f4-90fbcc22e830	1480
Stage Dive	2f4f4b0f-c3d1-4350-bff0-daed17f18c9e	616
Stand By Your Man	2fee1f48-6a69-43df-a099-deef3b2a2ed4	391
Stand Up	9a816d5e-d70d-48b2-b271-8cb878e575d6	582
Stardust	6cffb1c2-c7d9-48a2-8e28-415a172e413b	1990
Starlight	60e94685-0481-4d3d-bd84-11c389d9b2a5	1079
Stars	02be0a4e-d882-4c15-870a-6095497beadd	601
Started from the Bottom	2a05a47f-6bbb-424e-bb0b-b4325bfa57d2	1502
Stay Alive	fb0453ee-996c-4826-83e5-20ff9312be6d	1678
Story of Rock and Roll	e133300e-d061-40d0-913d-1edd8ce958b3	437
Strassenjunge	257443c1-c54b-4eda-8336-86a378077d74	594
Strip für mich	39e2de29-8102-40b4-b041-cb6d17647ff8	594
Stronger (What Doesn't Kill You)	7ddbf79a-a65d-4f72-99c0-5c7cd5eed298	1690
Stuck	02df866b-4aa4-4211-a43b-b9f4a75c0a37	371
Stuck on the Puzzle	d0777414-98a3-4537-9c18-ee681fa50dd2	1977
Suck It and See	42bf58b4-9a5d-46e7-83b4-bb0c398ea114	1501
Sugar Baby Love	1fa42851-2d96-434f-9351-b7e37a8b11e4	428
Sugar, We're Goin Down	51e56798-1613-48ed-a156-0a4f38bfae8c	2150
SUKIE IN THE GRAVEYARD	09ba08ca-df8a-464e-9262-4f5be79d46d0	725
Summer’s Gonna Hurt You	c5283753-4df0-4aa6-b62a-997d90e13cd5	1614
Superfast Jellyfish	f7ac555a-1f43-460d-9fca-bb7203996e9d	1474
Superfriends	87b25700-f369-4bd2-81f0-1fca6190c628	1524
Surface	be08a65d-485a-4655-b109-3bd17a93885b	1417
Surrender	9f736312-90b7-4191-9552-05033eda711a	1802
Suspicious Minds	5c761f81-80ec-4123-8fee-d41ad814eb44	2018
Suzanne	28bbd84a-ef4b-430a-a768-5d4af92e51e8	2331
Swear	2f48807c-a5b4-42c1-9507-4c211a31a0cc	1580
Sweat	043b3b29-f7af-4247-86bc-87c5fcb24316	227
T.C.B. Or T.Y.A.	a3e6dc91-0c3c-41dc-98e0-70d2729fbad0	120
T.N.T.	6f51468d-f161-41cf-8414-cd58b370bdf8	987
Tabula Rasa Pt. II	2a8b770c-067f-4986-84f9-83406fc7f5d7	2027
Tainted Love	f6b527b5-2f21-47df-bad7-851efcddfaa0	615
Take It or Leave It	94b71359-d304-4626-a530-efe5b04009bb	381
Take Me to Church	2b4c7de6-bfaa-456a-9465-247ece2e9052	1660
Cashmere	dfaede26-a048-410d-b14f-9ca7f993f87f	261
Centipede	1f53f13c-c614-43ce-acc1-7a1437d09d3a	1401
Chamber of Reflection	d8721fd8-6f1c-4c6e-8b0e-52e9b88169fc	2065
Chance Of Rain	ef9333c7-25ec-4416-bad9-97e97a973598	2327
Changes	6b0df588-686d-4c89-97ce-ba1db77f5e56	1451
Charlie Brown	24b9c8ee-ad12-4705-9e30-d2799a718dcc	1509
Chattanooga Choo-Choo	281a9b58-f923-45b1-a679-32aeb70d5fcd	2090
Chi mai	b0c54152-b328-4a43-9b33-2cc702d58fcb	129
Children's Christmas Song	3c84add4-614b-4a33-8851-873cdb2596fe	1316
Chills & Thrills	94dae8e9-ad1c-4aad-b0fd-c80459af579c	1784
Chord Left	6a709de2-0cfd-47d1-8904-d3515ad620ba	1131
Christ Conscious	5a858a5e-1157-4c0a-ba56-8803fbbd191e	263
Ché Ché Colé	4705a817-c442-47cb-88da-91170f1a956d	2221
City Life	c9b578cb-25b2-4b6d-bc45-075c8a155cf6	2169
Clean Up	3b8ecafa-5a41-4fa1-b621-370d878ae29c	945
Cleric	4b0f0bf0-c45f-49c0-b716-d93d686cef3e	544
Closer To The Sun	53a1f8b1-0dbc-475f-90c5-a9af4798642f	1281
Club Foot	cdd14e98-3597-4246-8582-b92bd0aab844	1618
Coco Jamboo	afc71eaa-9920-42a5-8e10-96a86cebb95a	1915
Coffee & TV	ea180333-aeb7-4573-b0f7-93b112d38584	1418
Collie Man	862dc4b4-85f7-429d-896d-c157612195d5	1281
come again	4d03c29d-9fc0-4211-aeaa-34ba81149dd7	1841
Come Monday Night	934790c8-49f4-4b20-bccc-3a2f23365d0b	187
Complicated	ef82bf7c-dd8b-4bac-85a8-2211376dc3b4	1172
Concerto in A Minor for Piano and Orchestra, Op. 16: II. Adagio (attacca)	c8536875-4589-4515-af1b-8bfb43617177	1608
Contradictions	0e55bfec-7042-490c-8bd8-24b2a1b34b72	1979
cop love	bc1b5fb1-ca7d-4ba4-91db-cd91dfeaef77	989
Count Me In	d530df5f-a039-4133-9894-c51c21908400	76
Cowboy Take Me Away	c8f46b8b-29fd-4cd8-9e30-98c00c373d53	825
Crack A Bottle	84d9f1d9-7752-4112-9c60-2e7ee5fd734b	1503
Crank	b8dcffd0-f0b5-41e4-8870-a39f175bae43	495
Cry Baby	a11c0a4d-de77-4fd7-8df6-4db36e49a634	18
Crying Lightning	f8ffacee-541c-4eb4-b00c-57cb2b1406f2	1501
Cuando los Pies Besan el Piso	3665a13c-feeb-4ea9-a192-857cf9fd74fc	1363
Daydream	3b54aa3a-17c1-4746-9155-1b56ca3148b5	2113
De camino a la vereda	f22b505c-9496-4c67-a872-c2768b4ae50f	318
Decomposing	02bb25b1-d55b-4859-b442-b23e72d87370	1775
Big Iron	32557eb7-03dd-46e0-bb3a-618c3a00c952	1860
Big Mouth	6b491dc5-0072-4d20-94d1-c1fc2dfe02f1	1894
Bigger Boys And Stolen Sweethearts	30be0eea-865f-479d-8c8a-414ce8356ea7	1501
Bilder im Kopf	e7c4f5b9-2674-43fb-87e3-9c614b9c4f33	594
Billie Jean	f980fc14-e29b-481d-ad3a-5ed9b4ab6340	51
Bitter Sweet Symphony	8b6d9029-1990-4660-bd57-24b5bc0fb626	1317
Black	8821d2ea-2854-44fc-b14f-007b507da034	1237
Black Cotton	38adfdae-5938-4f5c-a8a6-de91f8c9b25e	1451
Black Hole Sun	18f44eb2-4bac-4768-8e31-ceacb971faac	364
Black Magic Woman	e7345256-06d1-4536-8c08-f16ba8f6c3c1	85
Black or White	43a8d041-d666-4b14-807a-5ac0df35a69a	51
Bleed Black	ab0c84cc-ef6b-404b-86b4-b1140faf8d1b	1127
Blood on the Leaves	e6795931-6628-4f91-8509-37e74575f80b	1550
Blowin' in the Wind	d78d9ff0-0285-4c44-983a-9f6246cf03ad	1992
Blue In Green (Take 3)	25afcc82-052e-4d79-a874-20175442e06b	2133
Blue Skies	81472e3a-50e3-4b27-a1b9-e8ac53e07599	1163
Blue Song	5854a941-7f1f-4357-ab83-c0eeb7963d7d	1900
Blue Suede Shoes	066fde7b-0e13-411d-98ab-422813574b9b	757
Blue Veins	c617a01d-dcef-43bd-a81c-163df2a2a30e	422
Bohemian Rhapsody	ecfa6746-7bc4-4088-ace6-d209477bd63f	2100
Bomber	7ad64c8f-41e0-44cc-b9ac-40b196327005	1589
Bonfire Sessions	e28a8137-7ea5-4494-af57-43887b8a10b4	2311
Bongo Bong	aef7788e-0132-4039-bb45-d2c6036ae1c8	1849
Brandy (You're A Fine Girl)	1ed5817a-16c0-4ff1-a154-250d758eb6b2	2346
Break Ya Neck	32ded653-1d36-4041-ae1b-dc0458046152	1385
Breathing Place	58c74481-152e-46bc-ae44-9ef1a23f3c34	482
Bridge Burn	ad68fc7d-de41-4e54-90d2-8ce7a0d3a2ae	2341
Bring the Noise	5d9ecc8b-75fe-4d62-a1aa-65dab19a55aa	529
Buenos Hermanos	daabec43-2f89-45f6-b81b-34691c5fdb77	223
Bullenwägen	89ce6904-3eab-4249-ae04-3fe00e123673	1557
Bulls on Parade	5fde776a-799a-462c-b8e1-55c985740a2c	74
Bumpy Ride	4648fd82-d035-453c-9c68-3b33d425c493	1907
Burial	b5c0479e-65c5-40b6-978a-72e95e731f4e	1892
Burn	0eac09c6-8da7-4b24-a306-73d866e13cf7	1448
Can't Hold Me	5cf115fc-cfe8-439e-9158-d9659ace3d97	582
Can't Stand Me Now	7aced4ff-0841-41a5-a337-6e29e8b917f9	1309
Cannabis	2b4e4611-b134-4973-902c-227379200dcc	2198
Canon in D Major	836c3682-91c3-4fbc-b4bc-7a67873d500a	1610
Cantina Band	8c79be75-1e72-41bc-a670-7ed974a2df34	2280
Canto a la rebelión	9e2938de-dddf-487d-9361-f8843b6594a7	2198
Caribou Lou	5d8237d9-ae56-4c0e-9f09-f5fcc574fa76	868
San Francisco (Be Sure to Wear Flowers in Your Hair)	a5e8f4b6-eedb-4641-8862-048d0ccaf557	580
Sandman	b1841c28-e20b-4ec8-9c2f-e60d7bd86f9c	1165
Sarandonga	372b6979-ad15-43b0-b544-4102d7d89867	2348
Savage	d42fcc63-ae00-454f-a745-da0dd30ad23a	1190
Schwanengesang, D. 957: IV. Ständchen	91175f7f-f99e-46cf-9d04-8328bb604619	340
Schwule Mädchen	e1b02dfb-e308-4f4b-b67a-dd58413b7560	2023
Schön ist es auf der Welt zu sein	c4c83f96-7743-421c-9aa7-349b6698ca28	559
Screen Door	b618f550-5862-42e8-b959-b45ed597d566	1516
Sea Of Voices	46f5ccf5-2cd5-41fe-ba7a-65cb1289cc7e	2188
Secret Door	31c9c71b-15b5-4c8b-8bc1-7f1c76d2c45a	1501
sekundenschlaf	5c911114-8977-4484-8893-91faa6837c0d	1565
Set It Off	1ead11c0-560b-406e-976d-236b921a1f54	451
Sex and Candy	edd1126a-e127-4a0a-ac16-90ffccc8d685	1855
Sex Bomb	6e9312e5-50f2-4d7b-8f65-84c35b5f6d39	455
Sex on Fire	051caac1-1f67-4733-80b5-62cb32660daa	351
Sex On The Radio	ccc0931b-812d-4c67-830b-6b85ae29b271	259
Shades	a0239f7e-b99b-40b2-b482-fbf48e3424f9	1819
Shake That	9b8ab928-db7a-47f0-a8ec-ebd4804dddf4	1503
She	8b67ad4d-fe8f-4c56-a82c-af8c9e15683e	1490
She Got Me Twisted	86350597-b8ba-46e1-bdcc-4ddc9bb9b55c	582
She's Not There	1105ed1e-dd9f-4d4e-a314-2d8077bf1a95	2211
She's So High	170efa1d-ff53-4861-9270-fff71cb14bc2	390
